3862;Walton Elijah;"""Piz Palu as seen from above the Mortaratsch Glacier""";Originalbild;Aquarell  /  und Gouache über Bleistiftvorzeichnung;"B: 24; H: 34 ";1878, Oktober
4001;Wieland Hans-Beat;Drei Bergsteiger;Originalbild;Öl;"B: 100,1; H: 71";20. Jh.
4052;Wolff Carl;"""Aurora Silvretta""";Originalbild;Aquarell;"B: 69,3; H: 50,4";1924
4204;Sch ;Sciorahütte;Originalbild;Öl;"B: 46; H: 38";20. Jh.
4634;Burger Wilhelm Friedrich;Piz Bernina;Originalbild;Tempera;"B: 50,4; H: 40,4";20. Jh. Mitte
4726;Gröbli Carlo;"""Bovalhütte""";Originalbild;Aquarell;"B: 31,4; H: 41,7  ";1946
4992;Gröbli Carlo;"""Morgenwanderung""";Originalbild;Pastell;"B: 70; H: 50";20. Jh.
5134;Clare G.;"""Erster Bündnerischer Führerkurs in Pontresina. 29. September - 9. Oktober 1907""";Fotografie;Fotografie;"B: 20; H: 17";1907
5217;Deventer H.;Gasthaus zum Bergführer Davos Sertig;Originalbild;Öl;"B: 29,5; H: 39,5";1914
5339;Gröbli Carlo;"""Bruni Gletscher mit Piz Ault, Weg nach dem Oberalpstock. Links Bruni-Pass (Acletta Pass) nach Dissentis""";Originalbild;Aquarell;"B: 19,7; H: 14,3";1800 um
5877;Scarbina Franz;"""Morteratsch-Gletscher""";Originalbild;Öl;"B: 74; H: 46";1895 um
5966;Gauch A.;Bovalhütte;Originalbild;Öl;"B: 26,6; H: 20,8";1947
5967;Koch Walther;"""Central Sport-Hotel, Davos Platz""";Akzidenzdruck;Druck;"B: 14,2; H: 18,2";20. Jh. erste Hälfte
6094;Feuerstein Johann;Diavolezzahütte mit Piz Palü;Fotografie;Fotografie;"B: 22,1; H: 16 ,1";20. Jh.
6347;Thurston Bryan Cyril;Terri - Gletscher mit Pizzo di Güida (?);Grafik;Kaltnadel  /  Radierung;"B: 75; H: 56";1979, 26. Februar
6493;Gröbli Carlo;"""Forno-Gletscher""";Originalbild;Aquarell  /  über Bleistift;"B: 68,6; H: 47,5 ";
6600;Gröbli Carlo;Piz Buin;Originalbild;Bleistift  /  weiss gehöht;"B: 36,3; H: 27,3 ";1867, 3. August
6647;Buss Ernst ;"""Oberhalb Ardez""";Originalbild;Bleistift;"B: 13,9; H: 21,1 ";1906, Juli
6710;Federle Aegidius;Source du Rhin sur le glacier de Rheinwald.;Originalbild;Gouache;"B: 16,2; H: 11,8";1834
7072;Fueter Max;Roseggletscher;Originalbild;Aquarell  /  weiss gehöht;"B: 23,5; H: 14,8 ";1962, 14. August
7501;Gröbli Carlo;"""Grisons""";Originalbild;Aquarell  /  über Bleistift;"B: 35; H: 23";1863
7706;Starke Wilhelm;"""Pontresina, Alp Languard""";Originalbild;Aquarell  /  über Bleistift;"B: 33,7; H: 24";1887, 8. August
7708;Starke Wilhelm;Diavolezza;Originalbild;Aquarell  /  über Bleistift;"B: 34; H: 24,4";1887, 6. August
7718;Starke Wilhelm;"""Languard""";Originalbild;Aquarell  /  über Bleistift;"B: 33,8; H: 24,6";1887
8002;Gröbli Carlo;"""Cha. del Forno, Cima di Rosso e Pizzo Torrone.""";Fotografie;Fotografie  /  Silbergelatine;"B: 21,5; H: 16";
9133;Jaeger Bernhard;Rosegtal;Originalbild;Aquarell;"B: 30,7; H: 24,5";1925
9188;Gröbli Carlo;"""Chiacciaja e Cabana del Forno""";Fotografie;Fotografie  /  Silbergelatine;"B: 21,5; H: 16";
9222.14;Charnaux F.;"""Glacier de Roseg et Alp Otta""";Fotografie;Fotografie;"B: 25,5; H: 18";1880 um
